Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,35.900002,36.349998,35.599998,35.799999,32.976154,50444
2019-04-16,36.000000,36.349998,35.500000,35.650002,32.837986,55219
2019-04-18,35.700001,35.700001,35.000000,35.299999,32.515591,19760
2019-04-22,35.049999,35.049999,34.200001,34.349998,31.640526,29888
2019-04-23,34.099998,35.599998,34.099998,35.250000,32.469536,25887
2019-04-24,35.549999,35.549999,34.900002,35.000000,32.239258,6031
2019-04-25,35.000000,35.250000,34.799999,35.099998,32.331367,22936
2019-04-26,35.849998,35.849998,34.799999,35.299999,32.515591,11444
2019-04-30,35.349998,36.250000,34.650002,35.700001,32.884041,66357
2019-05-02,35.799999,36.349998,35.599998,36.200001,33.344604,51898
2019-05-03,37.000000,37.750000,35.900002,36.150002,33.298550,59895
2019-05-06,35.900002,35.900002,35.099998,35.250000,32.469536,22727
2019-05-07,35.400002,36.049999,35.299999,36.000000,33.160378,30906
2019-05-08,36.000000,36.000000,35.400002,35.599998,32.791927,17087
2019-05-09,36.500000,36.549999,35.049999,36.450001,33.574883,41576
2019-05-10,36.200001,36.200001,35.849998,36.049999,33.206432,46681
2019-05-13,35.900002,35.900002,34.849998,35.000000,32.239258,27291
2019-05-14,34.849998,35.400002,34.599998,35.150002,32.377426,19731
2019-05-15,35.000000,35.250000,34.299999,34.400002,31.686584,15839
2019-05-16,34.700001,34.700001,34.099998,34.099998,31.410246,7453
2019-05-17,34.099998,35.150002,33.950001,34.750000,32.008976,34064
2019-05-20,35.549999,36.200001,35.349998,35.450001,32.653763,38071
2019-05-21,35.500000,35.700001,35.150002,35.349998,32.561649,60536
2019-05-22,35.400002,35.500000,35.099998,35.299999,32.515591,25726
2019-05-23,36.000000,36.200001,34.000000,34.900002,32.147144,36926
2019-05-24,34.900002,36.700001,34.900002,36.549999,33.666996,62860
2019-05-27,37.000000,38.500000,36.799999,37.849998,34.864452,185549
2019-05-28,38.099998,39.450001,37.900002,39.250000,36.154026,135491
2019-05-29,39.799999,40.900002,39.500000,39.900002,36.752754,162177
2019-05-30,40.450001,40.900002,39.599998,40.450001,37.259369,90938
2019-05-31,40.750000,40.750000,38.000000,39.049999,35.969799,113193
2019-06-03,39.900002,40.500000,39.500000,40.049999,36.890923,85673
2019-06-04,40.049999,40.349998,39.650002,40.049999,36.890923,38412
2019-06-06,40.299999,40.549999,38.700001,39.200001,36.107967,44468
2019-06-07,39.799999,39.799999,38.700001,39.299999,36.200081,36164
2019-06-10,39.400002,39.900002,38.500000,38.750000,35.693462,75750
2019-06-11,39.299999,39.299999,38.250000,38.599998,35.555294,18627
2019-06-12,38.450001,38.549999,38.250000,38.349998,35.325012,9861
2019-06-13,38.200001,38.299999,37.450001,37.650002,34.680229,21691
2019-06-14,37.950001,37.950001,37.099998,37.349998,34.403889,21030
2019-06-17,37.900002,37.900002,36.849998,36.900002,33.989391,13925
2019-06-18,37.000000,37.000000,35.049999,35.200001,32.423485,29927
2019-06-19,35.049999,35.549999,33.700001,33.849998,31.179964,38751
2019-06-20,33.500000,35.000000,32.799999,34.700001,31.962921,29924
2019-06-21,34.349998,36.150002,33.799999,35.400002,32.607708,37679
2019-06-24,36.000000,36.099998,35.500000,35.849998,33.022209,31387
2019-06-25,36.299999,36.500000,35.500000,36.250000,33.390659,24467
2019-06-26,36.549999,37.500000,36.549999,37.250000,34.311783,77099
